Anul,Luna,Salariu Brut (RON),Salariu Mediu Brut pe Economie (RON),Punctaj Lunar,Punctaj Anual
2026,Ianuarie,6000,7567,0.7929,
2026,Februarie,6000,7567,0.7929,
2026,Martie,6000,7567,0.7929,
2026,Aprilie,6000,7567,0.7929,
2026,Mai,6000,7567,0.7929,
2026,Iunie,6000,7567,0.7929,
2026,Iulie,6000,7567,0.7929,
2026,August,6000,7567,0.7929,
2026,Septembrie,6000,7567,0.7929,
2026,Octombrie,6000,7567,0.7929,
2026,Noiembrie,6000,7567,0.7929,
2026,Decembrie,6000,7567,0.7929,0.7929
,,,,TOTAL PUNCTE:,0.7929
,,,,VPR (Valoare Punct Referinta):,91
,,,,PENSIE LUNARA ESTIMATA (RON):,72
